r,k_95,k_99
14,16,19
12,15,22
13,14,18
24,29,33
25,30,35
7,9,57
19,23,26
9,11,30
9,11,49
16,19,22
23,25,32
23,26,30
18,21,25
12,14,30
9,12,35
24,26,32
15,18,21
14,16,19
14,16,19
16,18,22
16,21,22
9,11,25
18,22,25
20,22,28
24,29,33
8,11,56
17,19,23
12,14,16
9,11,46
10,12,47
13,16,40
14,18,19
8,11,62
16,18,22
8,9,57
25,29,35
18,21,25
9,11,26
10,14,58
9,12,18
8,9,49
21,26,29
24,29,33
12,14,21
9,12,43
24,28,32
21,25,28
24,29,33
7,9,42
18,22,25
21,23,29
19,22,26
7,8,42
20,26,28
25,29,35
15,16,21
14,16,19
23,28,32
25,28,33
21,23,29
19,21,26
12,15,29
20,25,26
20,25,28
6,8,36
7,9,65
22,26,30
17,21,23
23,28,30
7,9,49
16,19,22
5,7,74
5,7,35
15,18,21
13,15,18
21,23,29
20,25,28
7,9,53
23,26,32
12,16,26
8,11,51
12,15,33
7,9,30
19,22,26
12,15,40
13,15,18
9,11,40
14,16,21
18,22,25
22,25,29
6,8,71
5,7,72
21,26,29
10,12,19
23,28,30
8,11,36
6,8,78
12,15,29
20,23,28
7,9,67
9,11,46
17,21,23
